STATE,VILLAGE,"DEPTHZONE MOST COMMONLY TAPPED1","MEAN DEPTH1","DEPTHZONE MOST COMMONLY TAPPED2","MEAN DEPTH2","CHANGE IN DEPTH"
bihar,revora,0-20,0,0-20,0,0
bihar,sircaim,0-20,0,0-20,0,0
bihar,haturli,0-20,0,0-20,0,0
bihar,mencurem,0-20,0,0-20,0,0
bihar,casnem,0-20,0,0-20,0,0
bihar,dhargalim,0-20,0,0-20,0,0
bihar,paliem,0-20,0,0-20,0,0
bihar,poroscodem,0-20,0,0-20,0,0
bihar,adcolna,0-20,0,0-20,0,0
bihar,candepar,0-20,0,0-20,0,0
bihar,cuncoliem,0-20,0,0-20,0,0
bihar,curti,0-20,0,0-20,0,0
bihar,orgao,0-20,0,0-20,0,0
bihar,"savoi verem",0-20,0,0-20,0,0
bihar,usgao,0-20,0,0-20,0,0
bihar,buimpal,0-20,0,0-20,0,0
bihar,choraundem,0-20,0,0-20,0,0
bihar,codiem,0-20,0,0-20,0,0
bihar,compordem,0-20,0,0-20,0,0
bihar,conquirem,0-20,0,0-20,0,0
bihar,karambolim,0-20,0,0-20,0,0
bihar,mauzi,0-20,0,0-20,0,0
bihar,ponocem,0-20,0,0-20,0,0
bihar,satorem,0-20,0,0-20,0,0
bihar,sigonem,0-20,0,0-20,0,0
bihar,advoi,0-20,0,0-20,0,0
bihar,ansolim,0-20,0,0-20,0,0
bihar,brahma-karmali,0-20,0,0-20,0,0
bihar,charavnem,0-20,0,0-20,0,0
bihar,copardem,0-20,0,0-20,0,0
bihar,cotorem,0-20,0,0-20,0,0
bihar,dongurli,0-20,0,0-20,0,0
bihar,golauli,0-20,0,0-20,0,0
bihar,naneli,0-20,0,0-20,0,0
bihar,onda,0-20,0,0-20,0,0
bihar,pale,0-20,0,0-20,0,0
bihar,rivem,0-20,0,0-20,0,0
bihar,saleli,0-20,0,0-20,0,0
bihar,"sonus vonvoliem",0-20,0,0-20,0,0
bihar,mercurim,0-20,0,0-20,0,0
bihar,cola,0-20,0,0-20,0,0
bihar,cotigao,0-20,0,0-20,0,0
bihar,gaondongrem,0-20,0,0-20,0,0
bihar,loliem-polem,0-20,0,0-20,0,0
bihar,nagorcem/palolem,0-20,0,0-20,0,0
bihar,poinguinim,0-20,0,0-20,0,0
bihar,shristhal,0-20,0,0-20,0,0
bihar,piliem,0-20,0,0-20,0,0
bihar,mormugao,0-20,0,0-20,0,0
bihar,quelossim,0-20,0,0-20,0,0
bihar,sancoale,0-20,0,0-20,0,0
bihar,curchorem,0-20,0,0-20,0,0
bihar,sulkarna,0-20,0,0-20,0,0
bihar,cavalossim,0-20,0,0-20,0,0
bihar,dramapur,0-20,0,0-20,0,0
bihar,margao,0-20,0,0-20,0,0
bihar,"sao jose de areal",0-20,0,0-20,0,0
bihar,camorcand,0-20,0,0-20,0,0
bihar,moissal,0-20,0,0-20,0,0
bihar,sigao,0-20,0,0-20,0,0
