State,District,Block/Tehsil,Village,0-20,20-40,40-60,60-70,70-90,90-110,110-130,130-150,greater than 150,total
GOA,North Goa,Bardez,Revora,9,0,0,0,0,0,0,0,0,9
GOA,North Goa,Bardez,Sircaim,1,0,0,0,0,0,0,0,0,1
GOA,NORTH GOA,BICHOLIM,HATURLI,1,0,0,0,0,0,0,0,0,1
GOA,North Goa,Bicholim,Mencurem,1,0,0,0,0,0,0,0,0,1
GOA,NORTH GOA,PERNEM,CASNEM,0,0,0,0,1,0,0,0,0,1
GOA,NORTH GOA,PERNEM,DHARGALIM,1,0,0,0,7,0,0,0,0,8
GOA,NORTH GOA,PERNEM,PALIEM,0,0,0,0,2,0,0,0,0,2
GOA,NORTH GOA,PERNEM,POROSCODEM,2,0,0,0,0,0,0,0,0,2
GOA,North Goa,Ponda,Adcolna,0,0,0,1,0,0,0,0,0,1
GOA,North Goa,Ponda,Candepar,2,0,0,0,0,0,0,0,0,2
GOA,NORTH GOA,PONDA,CUNCOLIEM,3,2,1,0,0,0,0,0,0,6
GOA,North Goa,Ponda,Curti,0,0,2,4,0,0,0,0,0,6
GOA,NORTH GOA,PONDA,ORGAO,0,20,0,0,0,0,1,0,0,21
GOA,NORTH GOA,PONDA,SAVOI VEREM,0,0,0,0,1,0,0,0,0,1
GOA,NORTH GOA,PONDA,USGAO,0,1,0,0,0,1,0,0,0,2
GOA,North Goa,Satari,Advoi,0,2,0,0,1,0,0,0,0,3
GOA,North Goa,Satari,Ansolim,1,0,0,0,0,0,0,0,0,1
GOA,North Goa,Satari,Buimpal,0,1,0,0,1,0,0,0,1,3
GOA,North Goa,Satari,Choraundem,1,0,0,0,0,0,0,0,0,1
GOA,North Goa,Satari,Codiem,0,1,0,0,0,0,0,0,0,1
GOA,North Goa,Satari,Compordem,4,5,0,0,0,0,0,0,0,9
GOA,North Goa,Satari,Conquirem,0,0,0,0,6,0,0,0,0,6
GOA,North Goa,Satari,Dongurli,1,0,0,0,0,0,0,0,0,1
GOA,North Goa,Satari,Golauli,1,0,0,0,0,0,0,0,0,1
GOA,North Goa,Satari,Karambolim,0,0,0,0,0,0,0,0,0,0
GOA,North Goa,Satari,Mauzi,0,0,0,0,0,0,0,0,0,0
GOA,North Goa,Satari,Onda,1,0,0,0,0,0,0,0,0,1
GOA,North Goa,Satari,Ponocem,0,0,0,0,0,0,0,0,0,0
GOA,North Goa,Satari,Rivem,0,0,0,0,0,0,0,0,0,0
GOA,North Goa,Satari,Saleli,4,0,0,0,0,0,0,0,0,4
GOA,North Goa,Satari,Satorem,0,1,0,0,0,0,0,0,0,1
GOA,North Goa,Satari,Sigonem,0,2,0,0,0,0,0,0,0,2
GOA,NORTH GOA,SATTARI,BRAHMA-KARMALI,1,1,0,0,0,0,0,0,0,2
GOA,NORTH GOA,SATTARI,CHARAVNEM,0,0,0,0,0,0,0,0,0,0
GOA,NORTH GOA,SATTARI,COPARDEM,1,0,0,0,0,0,0,0,0,1
GOA,NORTH GOA,SATTARI,COTOREM,0,1,0,0,0,0,0,0,0,1
GOA,NORTH GOA,SATTARI,NANELI,0,1,0,0,0,0,0,0,0,1
GOA,NORTH GOA,SATTARI,PALE,0,2,0,0,0,0,0,0,0,2
GOA,NORTH GOA,SATTARI,SONUS VONVOLIEM,1,0,0,0,0,0,0,0,0,1
GOA,NORTH GOA,TISWADI,MERCURIM,1,0,0,0,0,0,0,0,0,1
GOA,South Goa,Canacona,Cola,9,0,0,0,0,0,0,0,0,9
GOA,South Goa,Canacona,Cotigao,0,0,0,0,4,0,0,0,0,4
GOA,SOUTH GOA,CANACONA,GAONDONGREM,0,0,0,0,3,0,0,0,0,3
GOA,SOUTH GOA,CANACONA,LOLIEM-POLEM,0,0,0,0,0,0,0,0,0,0
GOA,South Goa,Canacona,Nagorcem/Palolem,3,0,0,0,5,0,0,0,0,8
GOA,South Goa,Canacona,Poinguinim,1,0,0,0,1,0,0,0,0,2
GOA,SOUTH GOA,CANACONA,SHRISTHAL,1,0,0,0,5,0,0,0,0,6
GOA,South Goa,Dharbandora,Piliem,1,0,0,0,1,0,0,0,0,2
GOA,SOUTH GOA,MORMUGAO,MORMUGAO,1,0,0,0,0,0,0,0,0,1
GOA,South Goa,Mormugao,Quelossim,0,0,0,0,1,0,0,0,0,1
GOA,South Goa,Mormugao,Sancoale,2,0,0,0,0,0,0,0,0,2
GOA,South Goa,Quepem,Curchorem,1,0,0,0,0,0,0,0,0,1
GOA,SOUTH GOA,QUEPEM,SULKARNA,1,0,0,0,1,0,0,0,0,2
GOA,SOUTH GOA,SALCETE,CAVALOSSIM,2,0,0,0,0,0,0,0,0,2
GOA,SOUTH GOA,SALCETE,DRAMAPUR,1,0,0,0,0,0,0,0,0,1
GOA,SOUTH GOA,SALCETE,MARGAO,1,0,0,0,0,0,0,0,0,1
GOA,South Goa,Salcete,Sao Jose de Areal,7,0,0,0,0,0,0,0,0,7
GOA,SOUTH GOA,SANGUEM,CAMORCAND,1,0,0,0,0,0,0,0,0,1
GOA,SOUTH GOA,SANGUEM,MOISSAL,1,0,0,0,1,0,0,0,0,2
GOA,SOUTH GOA,SANGUEM,SIGAO,0,0,0,0,0,0,0,0,0,0
