state,block,depth,estimated,inc/dec
goa,bardez,0-20,20,10
goa,bardez,20-40,0,0
goa,bardez,40-60,0,0
goa,bardez,60-70,0,0
goa,bardez,70-90,0,0
goa,bardez,90-110,0,0
goa,bardez,110-130,0,0
goa,bardez,130-150,0,0
goa,bardez,>150,0,0
goa,bicholim,0-20,2,0
goa,bicholim,20-40,0,0
goa,bicholim,40-60,0,0
goa,bicholim,60-70,0,0
goa,bicholim,70-90,0,0
goa,bicholim,90-110,0,0
goa,bicholim,110-130,0,0
goa,bicholim,130-150,0,0
goa,bicholim,>150,0,0
goa,pernem,0-20,3,0
goa,pernem,20-40,0,0
goa,pernem,40-60,0,0
goa,pernem,60-70,0,0
goa,pernem,70-90,18,8
goa,pernem,90-110,0,0
goa,pernem,110-130,0,0
goa,pernem,130-150,0,0
goa,pernem,>150,0,-1
goa,ponda,0-20,5,0
goa,ponda,20-40,44,21
goa,ponda,40-60,3,0
goa,ponda,60-70,5,0
goa,ponda,70-90,0,-5
goa,ponda,90-110,2,1
goa,ponda,110-130,2,1
goa,ponda,130-150,0,0
goa,ponda,>150,0,0
goa,satari,0-20,25,12
goa,satari,20-40,20,8
goa,satari,40-60,0,-1
goa,satari,60-70,0,-1
goa,satari,70-90,10,2
goa,satari,90-110,0,0
goa,satari,110-130,0,0
goa,satari,130-150,0,0
goa,satari,>150,2,1
goa,sattari,0-20,2,-1
goa,sattari,20-40,7,2
goa,sattari,40-60,0,-1
goa,sattari,60-70,0,0
goa,sattari,70-90,0,-10
goa,sattari,90-110,0,0
goa,sattari,110-130,0,0
goa,sattari,130-150,0,0
goa,sattari,>150,0,0
goa,tiswadi,0-20,1,0
goa,tiswadi,20-40,0,0
goa,tiswadi,40-60,0,0
goa,tiswadi,60-70,0,0
goa,tiswadi,70-90,0,0
goa,tiswadi,90-110,0,0
goa,tiswadi,110-130,0,0
goa,tiswadi,130-150,0,0
goa,tiswadi,>150,0,0
goa,canacona,0-20,0,-45
goa,canacona,20-40,0,0
goa,canacona,40-60,0,0
goa,canacona,60-70,0,0
goa,canacona,70-90,21,3
goa,canacona,90-110,0,-3
goa,canacona,110-130,0,0
goa,canacona,130-150,0,0
goa,canacona,>150,0,0
goa,dharbandora,0-20,2,1
goa,dharbandora,20-40,0,0
goa,dharbandora,40-60,0,0
goa,dharbandora,60-70,0,0
goa,dharbandora,70-90,2,1
goa,dharbandora,90-110,0,0
goa,dharbandora,110-130,0,0
goa,dharbandora,130-150,0,0
goa,dharbandora,>150,0,0
goa,mormugao,0-20,3,0
goa,mormugao,20-40,0,0
goa,mormugao,40-60,0,0
goa,mormugao,60-70,0,0
goa,mormugao,70-90,0,-3
goa,mormugao,90-110,0,0
goa,mormugao,110-130,0,0
goa,mormugao,130-150,0,0
goa,mormugao,>150,0,0
goa,quepem,0-20,3,1
goa,quepem,20-40,0,0
goa,quepem,40-60,0,0
goa,quepem,60-70,0,0
goa,quepem,70-90,2,1
goa,quepem,90-110,0,0
goa,quepem,110-130,0,0
goa,quepem,130-150,0,0
goa,quepem,>150,0,0
goa,salcete,0-20,18,7
goa,salcete,20-40,0,0
goa,salcete,40-60,0,0
goa,salcete,60-70,0,0
goa,salcete,70-90,0,0
goa,salcete,90-110,0,0
goa,salcete,110-130,0,0
goa,salcete,130-150,0,0
goa,salcete,>150,0,0
goa,sanguem,0-20,2,0
goa,sanguem,20-40,0,0
goa,sanguem,40-60,0,0
goa,sanguem,60-70,0,0
goa,sanguem,70-90,1,0
goa,sanguem,90-110,0,0
goa,sanguem,110-130,0,0
goa,sanguem,130-150,0,0
goa,sanguem,>150,0,0
